"Month","Day","Percentile_90","Station"
"01","01",10,"Abbotsford"
"01","02",9.68,"Abbotsford"
"01","03",9.52,"Abbotsford"
"01","04",10,"Abbotsford"
"01","05",10,"Abbotsford"
"01","06",10,"Abbotsford"
"01","07",10.3,"Abbotsford"
"01","08",10.5,"Abbotsford"
"01","09",10.6,"Abbotsford"
"01","10",10.6,"Abbotsford"
"01","11",10.71,"Abbotsford"
"01","12",11.1,"Abbotsford"
"01","13",11.11,"Abbotsford"
"01","14",11.3,"Abbotsford"
"01","15",11.2,"Abbotsford"
"01","16",11.3,"Abbotsford"
"01","17",11.21,"Abbotsford"
"01","18",11.11,"Abbotsford"
"01","19",11.1,"Abbotsford"
"01","20",11.1,"Abbotsford"
"01","21",11.1,"Abbotsford"
"01","22",11.1,"Abbotsford"
"01","23",11.1,"Abbotsford"
"01","24",10.83,"Abbotsford"
"01","25",10.62,"Abbotsford"
"01","26",10.6,"Abbotsford"
"01","27",10.6,"Abbotsford"
"01","28",10.6,"Abbotsford"
"01","29",10.6,"Abbotsford"
"01","30",10.82,"Abbotsford"
"01","31",11.1,"Abbotsford"
"02","01",11.1,"Abbotsford"
"02","02",11.41,"Abbotsford"
"02","03",11.7,"Abbotsford"
"02","04",11.7,"Abbotsford"
"02","05",12,"Abbotsford"
"02","06",12.2,"Abbotsford"
"02","07",12.2,"Abbotsford"
"02","08",12.11,"Abbotsford"
"02","09",12.2,"Abbotsford"
"02","10",12.2,"Abbotsford"
"02","11",12.2,"Abbotsford"
"02","12",12.41,"Abbotsford"
"02","13",12.83,"Abbotsford"
"02","14",13.11,"Abbotsford"
"02","15",13.21,"Abbotsford"
"02","16",13.3,"Abbotsford"
"02","17",13.3,"Abbotsford"
"02","18",13.21,"Abbotsford"
"02","19",13.21,"Abbotsford"
"02","20",13.3,"Abbotsford"
"02","21",13.3,"Abbotsford"
"02","22",13.62,"Abbotsford"
"02","23",13.9,"Abbotsford"
"02","24",13.9,"Abbotsford"
"02","25",13.91,"Abbotsford"
"02","26",13.91,"Abbotsford"
"02","27",14,"Abbotsford"
"02","28",14.4,"Abbotsford"
"02","29",14.92,"Abbotsford"
"03","01",14.51,"Abbotsford"
"03","02",15,"Abbotsford"
"03","03",15,"Abbotsford"
"03","04",15,"Abbotsford"
"03","05",14.82,"Abbotsford"
"03","06",14.82,"Abbotsford"
"03","07",14.51,"Abbotsford"
"03","08",14.41,"Abbotsford"
"03","09",14.51,"Abbotsford"
"03","10",14.91,"Abbotsford"
"03","11",15.04,"Abbotsford"
"03","12",15.23,"Abbotsford"
"03","13",15.6,"Abbotsford"
"03","14",15.7,"Abbotsford"
"03","15",15.72,"Abbotsford"
"03","16",15.6,"Abbotsford"
"03","17",15.58,"Abbotsford"
"03","18",15.5,"Abbotsford"
"03","19",15.6,"Abbotsford"
"03","20",15.6,"Abbotsford"
"03","21",15.6,"Abbotsford"
"03","22",16.1,"Abbotsford"
"03","23",16.5,"Abbotsford"
"03","24",16.6,"Abbotsford"
"03","25",16.61,"Abbotsford"
"03","26",16.52,"Abbotsford"
"03","27",16.7,"Abbotsford"
"03","28",16.7,"Abbotsford"
"03","29",16.71,"Abbotsford"
"03","30",16.91,"Abbotsford"
"03","31",17.21,"Abbotsford"
"04","01",17.44,"Abbotsford"
"04","02",17.8,"Abbotsford"
"04","03",17.82,"Abbotsford"
"04","04",18.02,"Abbotsford"
"04","05",18.3,"Abbotsford"
"04","06",18.3,"Abbotsford"
"04","07",18.32,"Abbotsford"
"04","08",18.51,"Abbotsford"
"04","09",18.81,"Abbotsford"
"04","10",18.91,"Abbotsford"
"04","11",19.01,"Abbotsford"
"04","12",19.01,"Abbotsford"
"04","13",19,"Abbotsford"
"04","14",19,"Abbotsford"
"04","15",19.01,"Abbotsford"
"04","16",19.2,"Abbotsford"
"04","17",19.11,"Abbotsford"
"04","18",19.11,"Abbotsford"
"04","19",19.3,"Abbotsford"
"04","20",19.4,"Abbotsford"
"04","21",19.7,"Abbotsford"
"04","22",19.8,"Abbotsford"
"04","23",20.1,"Abbotsford"
"04","24",20.6,"Abbotsford"
"04","25",20.64,"Abbotsford"
"04","26",21.1,"Abbotsford"
"04","27",21.3,"Abbotsford"
"04","28",21.6,"Abbotsford"
"04","29",21.61,"Abbotsford"
"04","30",21.91,"Abbotsford"
"05","01",22.21,"Abbotsford"
"05","02",22.7,"Abbotsford"
"05","03",22.8,"Abbotsford"
