"Month","Day","Percentile_90","Percentile_95","Station"
"01","01",-5,0,"FortNelson"
"01","02",-5,-0.545000000000005,"FortNelson"
"01","03",-5.6,-0.825000000000023,"FortNelson"
"01","04",-5.44999999999999,-0.825000000000023,"FortNelson"
"01","05",-4.98,-0.545000000000005,"FortNelson"
"01","06",-5.59,-1.41500000000003,"FortNelson"
"01","07",-5.6,-1.745,"FortNelson"
"01","08",-5.88,-2.8,"FortNelson"
"01","09",-6.7,-3.345,"FortNelson"
"01","10",-6.88,-3.345,"FortNelson"
"01","11",-6.7,-3.4,"FortNelson"
"01","12",-6.61999999999998,-2.99000000000001,"FortNelson"
"01","13",-5.6,-2.69000000000001,"FortNelson"
"01","14",-5.6,-2.8,"FortNelson"
"01","15",-5.09,-2.38000000000002,"FortNelson"
"01","16",-4.49,-1.7,"FortNelson"
"01","17",-3.9,-0.770000000000027,"FortNelson"
"01","18",-3.79,-0.445000000000005,"FortNelson"
"01","19",-3.79,0.119999999999982,"FortNelson"
"01","20",-3.9,0.409999999999991,"FortNelson"
"01","21",-3.79,0.664999999999986,"FortNelson"
"01","22",-3.69,1.29499999999996,"FortNelson"
"01","23",-3.3,2.36499999999999,"FortNelson"
"01","24",-3.24999999999999,2.5,"FortNelson"
"01","25",-3.24999999999999,2.66499999999999,"FortNelson"
"01","26",-2.8,2.66499999999999,"FortNelson"
"01","27",-2.8,2.66499999999999,"FortNelson"
"01","28",-3.69,1.18499999999997,"FortNelson"
"01","29",-2.8,1.31999999999998,"FortNelson"
"01","30",-2.6,2.2,"FortNelson"
"01","31",-2.6,1.88499999999997,"FortNelson"
"02","01",-2.38,1.88499999999997,"FortNelson"
"02","02",-2.2,1.5,"FortNelson"
"02","03",-1.7,1.88499999999997,"FortNelson"
"02","04",-1.1,1.97499999999998,"FortNelson"
"02","05",-1.1,2.06499999999999,"FortNelson"
"02","06",-1.69,1.80999999999999,"FortNelson"
"02","07",-1.69,1.60999999999999,"FortNelson"
"02","08",-1.69,1.60999999999999,"FortNelson"
"02","09",-1.59,1.5,"FortNelson"
"02","10",-1.7,1.255,"FortNelson"
"02","11",-1.68,1.40999999999999,"FortNelson"
"02","12",-1.09,2.655,"FortNelson"
"02","13",0.230000000000007,3.4,"FortNelson"
"02","14",1.1,4.055,"FortNelson"
"02","15",1.7,3.80999999999999,"FortNelson"
"02","16",2.11,4.5,"FortNelson"
"02","17",2.2,4.555,"FortNelson"
"02","18",2.23000000000001,4.955,"FortNelson"
"02","19",3.3,5.655,"FortNelson"
"02","20",3.9,6.255,"FortNelson"
"02","21",4.11,6.455,"FortNelson"
"02","22",4.41,6.60999999999999,"FortNelson"
"02","23",4.51,6.7,"FortNelson"
"02","24",5,6.7,"FortNelson"
"02","25",5.6,7.47499999999998,"FortNelson"
"02","26",5.61,7.8,"FortNelson"
"02","27",6.13000000000001,8.07499999999998,"FortNelson"
"02","28",6.41,8.3,"FortNelson"
"02","29",6.7,9.18,"FortNelson"
"03","01",6.51,8.3,"FortNelson"
"03","02",6.7,8.3,"FortNelson"
"03","03",6.7,8.88499999999997,"FortNelson"
"03","04",7,9.4,"FortNelson"
"03","05",7.2,9.455,"FortNelson"
"03","06",7.53000000000001,9.455,"FortNelson"
"03","07",7.8,9.455,"FortNelson"
"03","08",7.8,9.455,"FortNelson"
"03","09",7.8,9.70999999999999,"FortNelson"
"03","10",7.81,9.555,"FortNelson"
"03","11",7.91,9.555,"FortNelson"
"03","12",8.1,9.6,"FortNelson"
"03","13",8.12,9.6,"FortNelson"
"03","14",8.3,9.6,"FortNelson"
"03","15",8.3,9.6,"FortNelson"
