"Month","Day","Percentile_90","Percentile_95","Station"
"01","01",4.02,5.455,"FortStJoh"
"01","02",3.9,5.155,"FortStJoh"
"01","03",3.9,5.155,"FortStJoh"
"01","04",3.9,5.10999999999999,"FortStJoh"
"01","05",3.91,5.5,"FortStJoh"
"01","06",3.9,5.40999999999999,"FortStJoh"
"01","07",3.91,5.3,"FortStJoh"
"01","08",3.9,5.3,"FortStJoh"
"01","09",3.9,5.3,"FortStJoh"
"01","10",3.9,5.3,"FortStJoh"
"01","11",3.9,5.3,"FortStJoh"
"01","12",3.9,5.3,"FortStJoh"
"01","13",3.9,5.3,"FortStJoh"
"01","14",3.91,5.3,"FortStJoh"
"01","15",4.01,5.40999999999999,"FortStJoh"
"01","16",4.3,5.8,"FortStJoh"
"01","17",4.4,5.8,"FortStJoh"
"01","18",4.31,5.8,"FortStJoh"
"01","19",4.4,5.9,"FortStJoh"
"01","20",4.11,6.00999999999999,"FortStJoh"
"01","21",4.4,6.1,"FortStJoh"
"01","22",4.21,6.00999999999999,"FortStJoh"
"01","23",4.31,6.1,"FortStJoh"
"01","24",4.4,6.1,"FortStJoh"
"01","25",4.31,6.1,"FortStJoh"
"01","26",4.42,6.20999999999999,"FortStJoh"
"01","27",4.6,6.20999999999999,"FortStJoh"
"01","28",4.42,6.155,"FortStJoh"
"01","29",4.6,6.3,"FortStJoh"
"01","30",4.61,6.355,"FortStJoh"
"01","31",5,6.5,"FortStJoh"
"02","01",5.41,6.7,"FortStJoh"
"02","02",5.6,6.80999999999999,"FortStJoh"
"02","03",5.51,6.7,"FortStJoh"
"02","04",5.31,6.7,"FortStJoh"
"02","05",5.21,6.7,"FortStJoh"
"02","06",5.51,6.7,"FortStJoh"
"02","07",5.6,6.7,"FortStJoh"
"02","08",5.51,6.655,"FortStJoh"
"02","09",5.51,6.7,"FortStJoh"
"02","10",5.21,6.50999999999999,"FortStJoh"
"02","11",5.21,6.6,"FortStJoh"
"02","12",5.6,6.755,"FortStJoh"
"02","13",5.7,7.1,"FortStJoh"
"02","14",5.74000000000001,7.1,"FortStJoh"
"02","15",5.73000000000001,7.2,"FortStJoh"
"02","16",5.6,7.055,"FortStJoh"
"02","17",5.7,7.1,"FortStJoh"
"02","18",6.1,7.4,"FortStJoh"
"02","19",6.1,7.8,"FortStJoh"
"02","20",6.52,7.8,"FortStJoh"
"02","21",6.7,7.8,"FortStJoh"
"02","22",6.7,7.855,"FortStJoh"
"02","23",6.82,8.10999999999999,"FortStJoh"
"02","24",7.2,8.2,"FortStJoh"
"02","25",7.4,8.3,"FortStJoh"
"02","26",7.51,8.455,"FortStJoh"
"02","27",7.62,8.5,"FortStJoh"
"02","28",7.41,8.5,"FortStJoh"
"02","29",8.42,9.88,"FortStJoh"
"03","01",7.41,8.455,"FortStJoh"
"03","02",7.4,8.5,"FortStJoh"
"03","03",7.41,8.71999999999998,"FortStJoh"
"03","04",7.41,8.9,"FortStJoh"
"03","05",7.41,8.76499999999999,"FortStJoh"
"03","06",7.5,8.9,"FortStJoh"
"03","07",7.41,8.9,"FortStJoh"
"03","08",7.5,8.9,"FortStJoh"
"03","09",7.61,8.9,"FortStJoh"
"03","10",7.5,8.9,"FortStJoh"
"03","11",7.61,8.9,"FortStJoh"
"03","12",7.71,8.9,"FortStJoh"
"03","13",7.7,8.9,"FortStJoh"
"03","14",7.7,8.9,"FortStJoh"
"03","15",7.8,8.955,"FortStJoh"
"03","16",7.9,8.955,"FortStJoh"
"03","17",7.91,8.955,"FortStJoh"
"03","18",8.01,8.9,"FortStJoh"
"03","19",8.2,8.955,"FortStJoh"
"03","20",8.3,9.4,"FortStJoh"
"03","21",8.3,9.555,"FortStJoh"
"03","22",8.42,9.755,"FortStJoh"
"03","23",8.72,9.955,"FortStJoh"
"03","24",8.9,10.355,"FortStJoh"
"03","25",9.31,10.6,"FortStJoh"
"03","26",9.4,10.92,"FortStJoh"
"03","27",9.8,11.455,"FortStJoh"
"03","28",10.31,11.7,"FortStJoh"
"03","29",10.6,12.21,"FortStJoh"
"03","30",10.71,12.655,"FortStJoh"
"03","31",11.2,12.8,"FortStJoh"
"04","01",11.6,13.055,"FortStJoh"
"04","02",11.7,13.21,"FortStJoh"
"04","03",12.01,13.72,"FortStJoh"
"04","04",12.42,14.455,"FortStJoh"
"04","05",12.8,14.775,"FortStJoh"
"04","06",12.8,14.91,"FortStJoh"
"04","07",13.3,15.11,"FortStJoh"
"04","08",13.3,15.2,"FortStJoh"
"04","09",13.4,15.42,"FortStJoh"
"04","10",13.41,15.555,"FortStJoh"
"04","11",13.5,15.355,"FortStJoh"
"04","12",13.53,15.355,"FortStJoh"
"04","13",13.9,15.455,"FortStJoh"
"04","14",13.9,15.455,"FortStJoh"
"04","15",14.11,15.5,"FortStJoh"
"04","16",14.21,15.555,"FortStJoh"
"04","17",14.4,15.6,"FortStJoh"
"04","18",14.9,16.1,"FortStJoh"
"04","19",15.02,16.7,"FortStJoh"
"04","20",15.41,17.255,"FortStJoh"
"04","21",15.8,18.165,"FortStJoh"
"04","22",15.83,18.3,"FortStJoh"
"04","23",16.11,18.855,"FortStJoh"
"04","24",16.7,19.6,"FortStJoh"
"04","25",17.32,19.71,"FortStJoh"
"04","26",17.8,19.855,"FortStJoh"
"04","27",18.3,19.855,"FortStJoh"
"04","28",18.62,20,"FortStJoh"
"04","29",18.9,20.11,"FortStJoh"
"04","30",19.2,20.955,"FortStJoh"
"05","01",19.4,21.1,"FortStJoh"
"05","02",19.6,21.52,"FortStJoh"
"05","03",20,21.7,"FortStJoh"
"05","04",20.21,22,"FortStJoh"
"05","05",20.6,22.11,"FortStJoh"
"05","06",20.6,22.11,"FortStJoh"
"05","07",20.6,22.255,"FortStJoh"
"05","08",20.6,22.255,"FortStJoh"
"05","09",20.6,22.51,"FortStJoh"
"05","10",20.6,22.8,"FortStJoh"
"05","11",20.72,22.855,"FortStJoh"
"05","12",21.7,23.3,"FortStJoh"
"05","13",21.72,23.465,"FortStJoh"
"05","14",22,23.81,"FortStJoh"
"05","15",22,23.9,"FortStJoh"
"05","16",22,23.955,"FortStJoh"
"05","17",22.01,24,"FortStJoh"
"05","18",22.2,24.11,"FortStJoh"
"05","19",22.21,24.365,"FortStJoh"
"05","20",22.41,24.775,"FortStJoh"
"05","21",22.8,25,"FortStJoh"
"05","22",23.3,25,"FortStJoh"
"05","23",23.3,25.11,"FortStJoh"
"05","24",23.3,25.11,"FortStJoh"
"05","25",23.51,25.555,"FortStJoh"
"05","26",23.7,25.655,"FortStJoh"
"05","27",23.81,25.755,"FortStJoh"
"05","28",23.9,25.965,"FortStJoh"
"05","29",23.9,25.965,"FortStJoh"
"05","30",23.9,25.965,"FortStJoh"
"05","31",23.9,25.965,"FortStJoh"
"06","01",24,26.1,"FortStJoh"
"06","02",24.01,26.1,"FortStJoh"
"06","03",24.11,26.43,"FortStJoh"
"06","04",24.11,26.7,"FortStJoh"
"06","05",24.01,26.7,"FortStJoh"
"06","06",24.11,26.7,"FortStJoh"
"06","07",24.4,26.43,"FortStJoh"
"06","08",24.4,26.7,"FortStJoh"
"06","09",24.4,26.7,"FortStJoh"
"06","10",24.4,26.7,"FortStJoh"
"06","11",24.4,26.7,"FortStJoh"
"06","12",24.4,26.7,"FortStJoh"
"06","13",24.73,26.7,"FortStJoh"
"06","14",25,26.7,"FortStJoh"
"06","15",24.73,26.7,"FortStJoh"
"06","16",24.41,26.7,"FortStJoh"
"06","17",24.7,26.7,"FortStJoh"
"06","18",24.7,26.7,"FortStJoh"
"06","19",24.71,26.655,"FortStJoh"
"06","20",24.52,26.1,"FortStJoh"
