"Year","DayOfYear","variable","value","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station"
1951,"04-01","Max_Temp_Year",16.7,18.9,"Not Higher",2,"Not Higher",NA,"Kamloops"
1951,"04-02","Max_Temp_Year",18.9,19.3,"Not Higher",2,"Not Higher",NA,"Kamloops"
1951,"04-03","Max_Temp_Year",21.1,19.4,"Not Higher",1,"Not Higher",NA,"Kamloops"
1951,"04-04","Max_Temp_Year",15,19.73,"Not Higher",7,"Not Higher",NA,"Kamloops"
1951,"04-05","Max_Temp_Year",16.7,20,"Not Higher",7,"Not Higher",NA,"Kamloops"
1951,"04-06","Max_Temp_Year",17.8,20.18,"Not Higher",7,"Not Higher",NA,"Kamloops"
1951,"04-07","Max_Temp_Year",16.1,20.3,"Not Higher",7,"Not Higher",NA,"Kamloops"
1951,"04-08","Max_Temp_Year",14.4,20.54,"Not Higher",7,"Not Higher",NA,"Kamloops"
1951,"04-09","Max_Temp_Year",12.8,20.6,"Not Higher",7,"Not Higher",NA,"Kamloops"
1951,"04-10","Max_Temp_Year",17.8,20.6,"Not Higher",7,"Not Higher",NA,"Kamloops"
1951,"04-11","Max_Temp_Year",21.7,20.82,"Not Higher",2,"Not Higher",NA,"Kamloops"
1951,"04-12","Max_Temp_Year",25.6,21.1,"Not Higher",2,"Not Higher",NA,"Kamloops"
1951,"04-13","Max_Temp_Year",16.1,21.3,"Not Higher",3,"Not Higher",NA,"Kamloops"
1951,"04-14","Max_Temp_Year",17.8,21.5,"Not Higher",3,"Not Higher",NA,"Kamloops"
1951,"04-15","Max_Temp_Year",20.6,21.7,"Not Higher",3,"Not Higher",NA,"Kamloops"
1951,"04-16","Max_Temp_Year",23.9,21.7,"Not Higher",2,"Not Higher",NA,"Kamloops"
1951,"04-17","Max_Temp_Year",22.8,22,"Not Higher",2,"Not Higher",NA,"Kamloops"
1951,"04-18","Max_Temp_Year",6.1,22.33,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-19","Max_Temp_Year",8.9,22.6,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-20","Max_Temp_Year",12.2,22.8,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-21","Max_Temp_Year",15.6,22.8,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-22","Max_Temp_Year",15,23.06,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-23","Max_Temp_Year",17.8,23.38,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-24","Max_Temp_Year",22.2,23.6,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-25","Max_Temp_Year",22.2,23.7,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-26","Max_Temp_Year",21.1,23.9,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-27","Max_Temp_Year",15,24.4,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-28","Max_Temp_Year",15,24.4,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-29","Max_Temp_Year",16.7,24.6,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"04-30","Max_Temp_Year",17.8,25,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-01","Max_Temp_Year",12.2,25.52,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-02","Max_Temp_Year",17.8,25.8,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-03","Max_Temp_Year",21.7,26.1,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-04","Max_Temp_Year",24.4,26.2,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-05","Max_Temp_Year",23.3,26.47,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-06","Max_Temp_Year",22.2,26.7,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-07","Max_Temp_Year",24.4,26.7,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-08","Max_Temp_Year",18.3,26.8,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-09","Max_Temp_Year",26.7,27.12,"Not Higher",22,"Not Higher",NA,"Kamloops"
1951,"05-10","Max_Temp_Year",27.8,27.5,"Not Higher",1,"Not Higher",NA,"Kamloops"
1951,"05-11","Max_Temp_Year",23.3,27.8,"Not Higher",62,"Not Higher",NA,"Kamloops"
