"Month","Day","Percentile_90","Station"
"01","01",5.06,"Kamloops"
"01","02",5.06,"Kamloops"
"01","03",5,"Kamloops"
"01","04",5,"Kamloops"
"01","05",5,"Kamloops"
"01","06",5.42,"Kamloops"
"01","07",5.5,"Kamloops"
"01","08",5.6,"Kamloops"
"01","09",6.06,"Kamloops"
"01","10",6.1,"Kamloops"
"01","11",6.36,"Kamloops"
"01","12",6.7,"Kamloops"
"01","13",6.7,"Kamloops"
"01","14",6.82,"Kamloops"
"01","15",6.82,"Kamloops"
"01","16",6.82,"Kamloops"
"01","17",7.08000000000001,"Kamloops"
"01","18",6.82,"Kamloops"
"01","19",6.7,"Kamloops"
"01","20",6.7,"Kamloops"
"01","21",6.86,"Kamloops"
"01","22",7.2,"Kamloops"
"01","23",7.02,"Kamloops"
"01","24",6.7,"Kamloops"
"01","25",6.7,"Kamloops"
"01","26",6.7,"Kamloops"
"01","27",6.86,"Kamloops"
"01","28",7.2,"Kamloops"
"01","29",7.2,"Kamloops"
"01","30",7.32,"Kamloops"
"01","31",7.32,"Kamloops"
"02","01",7.58000000000001,"Kamloops"
"02","02",7.8,"Kamloops"
"02","03",7.8,"Kamloops"
"02","04",8.3,"Kamloops"
"02","05",8.3,"Kamloops"
"02","06",8.3,"Kamloops"
"02","07",8.3,"Kamloops"
"02","08",8.8,"Kamloops"
"02","09",8.96,"Kamloops"
"02","10",9.06,"Kamloops"
"02","11",9.16,"Kamloops"
"02","12",9.2,"Kamloops"
"02","13",9.26,"Kamloops"
"02","14",9.3,"Kamloops"
"02","15",9.36,"Kamloops"
"02","16",9.5,"Kamloops"
"02","17",9.66,"Kamloops"
"02","18",9.76,"Kamloops"
"02","19",10,"Kamloops"
"02","20",10,"Kamloops"
"02","21",10.36,"Kamloops"
"02","22",10.46,"Kamloops"
"02","23",10.5,"Kamloops"
"02","24",10.5,"Kamloops"
"02","25",10.6,"Kamloops"
"02","26",10.6,"Kamloops"
"02","27",10.6,"Kamloops"
"02","28",11.1,"Kamloops"
"02","29",11.7,"Kamloops"
"03","01",11.66,"Kamloops"
"03","02",11.7,"Kamloops"
"03","03",11.76,"Kamloops"
"03","04",12.2,"Kamloops"
"03","05",12.2,"Kamloops"
"03","06",13.02,"Kamloops"
"03","07",13.3,"Kamloops"
"03","08",13.66,"Kamloops"
"03","09",13.9,"Kamloops"
"03","10",13.9,"Kamloops"
"03","11",14.4,"Kamloops"
"03","12",14.46,"Kamloops"
"03","13",14.7,"Kamloops"
"03","14",15,"Kamloops"
"03","15",15.06,"Kamloops"
"03","16",15.6,"Kamloops"
"03","17",15.6,"Kamloops"
"03","18",15.6,"Kamloops"
"03","19",15.7,"Kamloops"
"03","20",16.06,"Kamloops"
"03","21",16.1,"Kamloops"
"03","22",16.2,"Kamloops"
"03","23",16.7,"Kamloops"
"03","24",16.7,"Kamloops"
"03","25",17.2,"Kamloops"
"03","26",17.46,"Kamloops"
"03","27",17.8,"Kamloops"
"03","28",18.06,"Kamloops"
"03","29",18.3,"Kamloops"
"03","30",18.62,"Kamloops"
"03","31",18.9,"Kamloops"
"04","01",19.4,"Kamloops"
"04","02",19.4,"Kamloops"
"04","03",20,"Kamloops"
"04","04",20,"Kamloops"
"04","05",20,"Kamloops"
"04","06",20.44,"Kamloops"
"04","07",20.6,"Kamloops"
"04","08",20.66,"Kamloops"
"04","09",20.7,"Kamloops"
"04","10",21.1,"Kamloops"
"04","11",21.26,"Kamloops"
"04","12",21.36,"Kamloops"
"04","13",21.16,"Kamloops"
"04","14",21.1,"Kamloops"
"04","15",21.1,"Kamloops"
"04","16",21.1,"Kamloops"
"04","17",21.62,"Kamloops"
"04","18",21.86,"Kamloops"
"04","19",22.16,"Kamloops"
"04","20",22.72,"Kamloops"
"04","21",22.8,"Kamloops"
"04","22",23.2,"Kamloops"
"04","23",23.3,"Kamloops"
"04","24",23.5,"Kamloops"
"04","25",23.5,"Kamloops"
"04","26",23.66,"Kamloops"
"04","27",23.86,"Kamloops"
