"Year","DayOfYear","variable","value","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station"
2022,"04-01","Max_Temp_Year",11.6,16.97,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-02","Max_Temp_Year",13.5,17.2,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-03","Max_Temp_Year",15.5,17.5,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-04","Max_Temp_Year",12.5,17.8,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-05","Max_Temp_Year",12.8,17.8,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-06","Max_Temp_Year",12.8,18.2,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-07","Max_Temp_Year",17.7,18.3,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-08","Max_Temp_Year",16.2,18.3,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-09","Max_Temp_Year",6.4,18.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-10","Max_Temp_Year",9.3,18.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-11","Max_Temp_Year",10.6,19.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-12","Max_Temp_Year",8.7,19.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-13","Max_Temp_Year",9.2,19.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-14","Max_Temp_Year",10,20,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-15","Max_Temp_Year",8.6,20,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-16","Max_Temp_Year",11.3,20.2,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-17","Max_Temp_Year",13.9,20.5,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-18","Max_Temp_Year",10.3,20.6,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-19","Max_Temp_Year",14.2,20.7,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-20","Max_Temp_Year",13.7,21.1,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-21","Max_Temp_Year",11,21.1,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-22","Max_Temp_Year",15.6,21.5,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-23","Max_Temp_Year",18.7,21.7,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-24","Max_Temp_Year",21.2,22.07,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-25","Max_Temp_Year",17.8,22.2,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-26","Max_Temp_Year",13.8,22.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-27","Max_Temp_Year",14.3,22.8,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-28","Max_Temp_Year",15.2,22.8,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-29","Max_Temp_Year",17.5,23,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"04-30","Max_Temp_Year",14.4,23.3,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-01","Max_Temp_Year",20.6,23.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-02","Max_Temp_Year",20.3,23.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-03","Max_Temp_Year",21.7,23.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-04","Max_Temp_Year",16.1,24.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-05","Max_Temp_Year",11.9,24.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-06","Max_Temp_Year",16.3,24.7,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-07","Max_Temp_Year",14.2,25,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-08","Max_Temp_Year",12.4,25.1,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-09","Max_Temp_Year",15,25.5,"Not Higher",87,"Not Higher",NA,"Kelowna"
