"Year","DayOfYear","Max_Temp_Year","Percentile_90","Station"
2022,"01-01",-10.2,5.6,"Kelowna"
2022,"01-02",-7,5.6,"Kelowna"
2022,"01-03",0.1,5.6,"Kelowna"
2022,"01-04",-2,5.6,"Kelowna"
2022,"01-05",-8.7,5.6,"Kelowna"
2022,"01-06",-8.3,5.6,"Kelowna"
2022,"01-07",-1.3,5.6,"Kelowna"
2022,"01-08",-3.5,5.7,"Kelowna"
2022,"01-09",0.3,5.87,"Kelowna"
2022,"01-10",0.3,6,"Kelowna"
2022,"01-11",2.9,5.8,"Kelowna"
2022,"01-12",3.3,5.97,"Kelowna"
2022,"01-13",3.6,5.8,"Kelowna"
2022,"01-14",2.8,5.7,"Kelowna"
2022,"01-15",4.7,5.8,"Kelowna"
2022,"01-16",2.6,5.7,"Kelowna"
2022,"01-17",2.2,5.87,"Kelowna"
2022,"01-18",2,6,"Kelowna"
2022,"01-19",0.8,6,"Kelowna"
2022,"01-20",3.9,6.1,"Kelowna"
2022,"01-21",11.2,6.1,"Kelowna"
2022,"01-22",-1.1,6.1,"Kelowna"
2022,"01-23",-0.9,6.1,"Kelowna"
2022,"01-24",0.4,6.1,"Kelowna"
2022,"01-25",-1.1,6.1,"Kelowna"
2022,"01-26",-1.3,6.1,"Kelowna"
2022,"01-27",-2.1,6.3,"Kelowna"
2022,"01-28",-0.2,6.5,"Kelowna"
2022,"01-29",-0.8,6.7,"Kelowna"
2022,"01-30",0.1,6.7,"Kelowna"
2022,"01-31",3.4,6.7,"Kelowna"
2022,"02-01",2,6.7,"Kelowna"
2022,"02-02",-6.4,6.7,"Kelowna"
2022,"02-03",-1.4,7.04000000000001,"Kelowna"
2022,"02-04",1.8,7.2,"Kelowna"
2022,"02-05",3.9,7.2,"Kelowna"
2022,"02-06",4.2,7.2,"Kelowna"
2022,"02-07",10.7,7.2,"Kelowna"
2022,"02-08",5.9,7.2,"Kelowna"
2022,"02-09",5.6,7.2,"Kelowna"
2022,"02-10",6.6,7.3,"Kelowna"
2022,"02-11",8.1,7.6,"Kelowna"
2022,"02-12",3.3,7.8,"Kelowna"
2022,"02-13",4.3,7.8,"Kelowna"
2022,"02-14",2,7.8,"Kelowna"
2022,"02-15",9.3,8,"Kelowna"
2022,"02-16",8.5,8.3,"Kelowna"
2022,"02-17",9.6,8.3,"Kelowna"
2022,"02-18",12.2,8.4,"Kelowna"
2022,"02-19",10.3,8.73,"Kelowna"
2022,"02-20",6.5,8.9,"Kelowna"
2022,"02-21",-0.1,8.9,"Kelowna"
2022,"02-22",-3.8,9,"Kelowna"
2022,"02-23",-6.5,9.4,"Kelowna"
2022,"02-24",-2.1,9.4,"Kelowna"
2022,"02-25",0,9.6,"Kelowna"
2022,"02-26",2.6,9.84000000000001,"Kelowna"
2022,"02-27",6.2,10,"Kelowna"
2022,"02-28",3.7,10.1,"Kelowna"
2022,"02-29",NA,10.57,"Kelowna"
2022,"03-01",9.4,10.6,"Kelowna"
2022,"03-02",6.6,10.6,"Kelowna"
2022,"03-03",8.5,11.04,"Kelowna"
2022,"03-04",8.7,11.17,"Kelowna"
2022,"03-05",9.4,11.6,"Kelowna"
2022,"03-06",9.9,11.7,"Kelowna"
2022,"03-07",11.6,12.1,"Kelowna"
2022,"03-08",7,12.2,"Kelowna"
2022,"03-09",3,12.54,"Kelowna"
2022,"03-10",4.3,12.8,"Kelowna"
2022,"03-11",3.6,12.8,"Kelowna"
2022,"03-12",5.7,13.19,"Kelowna"
2022,"03-13",13.3,13.39,"Kelowna"
2022,"03-14",13.5,13.6,"Kelowna"
2022,"03-15",14.1,13.9,"Kelowna"
2022,"03-16",13.4,13.9,"Kelowna"
2022,"03-17",7.3,13.9,"Kelowna"
2022,"03-18",10.8,14.1,"Kelowna"
2022,"03-19",11.2,14.2,"Kelowna"
2022,"03-20",10.2,14.4,"Kelowna"
2022,"03-21",13.5,14.4,"Kelowna"
2022,"03-22",11.1,14.4,"Kelowna"
2022,"03-23",15.5,15,"Kelowna"
2022,"03-24",11.7,15,"Kelowna"
2022,"03-25",13.3,15.5,"Kelowna"
2022,"03-26",14.6,15.6,"Kelowna"
2022,"03-27",13.4,15.6,"Kelowna"
2022,"03-28",14.6,15.8,"Kelowna"
2022,"03-29",15.1,16.1,"Kelowna"
2022,"03-30",15,16.5,"Kelowna"
2022,"03-31",10.6,16.7,"Kelowna"
2022,"04-01",11.6,16.97,"Kelowna"
2022,"04-02",13.5,17.2,"Kelowna"
2022,"04-03",15.5,17.5,"Kelowna"
2022,"04-04",12.5,17.8,"Kelowna"
2022,"04-05",12.8,17.8,"Kelowna"
2022,"04-06",12.8,18.2,"Kelowna"
2022,"04-07",17.7,18.3,"Kelowna"
2022,"04-08",16.2,18.3,"Kelowna"
2022,"04-09",6.4,18.9,"Kelowna"
2022,"04-10",9.3,18.9,"Kelowna"
2022,"04-11",10.6,19.4,"Kelowna"
2022,"04-12",8.7,19.4,"Kelowna"
2022,"04-13",9.2,19.4,"Kelowna"
2022,"04-14",10,20,"Kelowna"
2022,"04-15",8.6,20,"Kelowna"
2022,"04-16",11.3,20.2,"Kelowna"
2022,"04-17",13.9,20.5,"Kelowna"
2022,"04-18",10.3,20.6,"Kelowna"
2022,"04-19",14.2,20.7,"Kelowna"
2022,"04-20",13.7,21.1,"Kelowna"
2022,"04-21",11,21.1,"Kelowna"
2022,"04-22",15.6,21.5,"Kelowna"
2022,"04-23",18.7,21.7,"Kelowna"
2022,"04-24",21.2,22.07,"Kelowna"
2022,"04-25",17.8,22.2,"Kelowna"
2022,"04-26",13.8,22.4,"Kelowna"
2022,"04-27",14.3,22.8,"Kelowna"
2022,"04-28",15.2,22.8,"Kelowna"
2022,"04-29",17.5,23,"Kelowna"
2022,"04-30",14.4,23.3,"Kelowna"
2022,"05-01",20.6,23.9,"Kelowna"
2022,"05-02",20.3,23.9,"Kelowna"
2022,"05-03",21.7,23.9,"Kelowna"
2022,"05-04",16.1,24.4,"Kelowna"
2022,"05-05",11.9,24.4,"Kelowna"
2022,"05-06",16.3,24.7,"Kelowna"
2022,"05-07",14.2,25,"Kelowna"
2022,"05-08",12.4,25.1,"Kelowna"
2022,"05-09",15,25.5,"Kelowna"
2022,"05-10",16.6,25.5,"Kelowna"
2022,"05-11",19.3,25.6,"Kelowna"
2022,"05-12",15.8,25.6,"Kelowna"
2022,"05-13",14.3,25.6,"Kelowna"
2022,"05-14",14.5,26.1,"Kelowna"
2022,"05-15",13,26.1,"Kelowna"
2022,"05-16",20.9,26.7,"Kelowna"
2022,"05-17",16,26.7,"Kelowna"
2022,"05-18",18.7,26.7,"Kelowna"
2022,"05-19",15.1,26.7,"Kelowna"
2022,"05-20",17,26.7,"Kelowna"
2022,"05-21",16.7,27.2,"Kelowna"
2022,"05-22",22.1,27.2,"Kelowna"
2022,"05-23",17.8,27.2,"Kelowna"
2022,"05-24",20.8,27.5,"Kelowna"
2022,"05-25",23,27.8,"Kelowna"
2022,"05-26",21.9,27.8,"Kelowna"
2022,"05-27",20.5,27.9,"Kelowna"
2022,"05-28",20.5,28.2,"Kelowna"
2022,"05-29",21.9,28.3,"Kelowna"
2022,"05-30",19.3,28.3,"Kelowna"
2022,"05-31",19.3,28.3,"Kelowna"
2022,"06-01",24.1,28.7,"Kelowna"
2022,"06-02",21.7,28.75,"Kelowna"
2022,"06-03",18.6,28.9,"Kelowna"
2022,"06-04",18,28.9,"Kelowna"
2022,"06-05",19.6,28.9,"Kelowna"
2022,"06-06",22.1,28.9,"Kelowna"
2022,"06-07",25,29.2,"Kelowna"
2022,"06-08",24.5,29.4,"Kelowna"
2022,"06-09",17.6,29.4,"Kelowna"
2022,"06-10",25.3,29.4,"Kelowna"
2022,"06-11",24.4,29.4,"Kelowna"
2022,"06-12",23.6,29.4,"Kelowna"
2022,"06-13",16,29.4,"Kelowna"
2022,"06-14",19.9,29.8,"Kelowna"
2022,"06-15",23.5,29.8,"Kelowna"
2022,"06-16",19.3,30,"Kelowna"
2022,"06-17",16.9,30,"Kelowna"
2022,"06-18",21.8,30,"Kelowna"
2022,"06-19",16.3,30.2,"Kelowna"
2022,"06-20",24.3,30.4,"Kelowna"
2022,"06-21",24.1,30.6,"Kelowna"
2022,"06-22",26.4,30.6,"Kelowna"
2022,"06-23",19.9,30.77,"Kelowna"
2022,"06-24",23.1,31.1,"Kelowna"
2022,"06-25",27.2,31.1,"Kelowna"
2022,"06-26",30,31.23,"Kelowna"
2022,"06-27",32.3,31.7,"Kelowna"
2022,"06-28",24.8,31.7,"Kelowna"
2022,"06-29",18.1,31.7,"Kelowna"
2022,"06-30",25.6,31.8,"Kelowna"
2022,"07-01",29.2,32.14,"Kelowna"
2022,"07-02",29.2,32.2,"Kelowna"
2022,"07-03",19,32.2,"Kelowna"
2022,"07-04",19.8,32.5,"Kelowna"
2022,"07-05",24.6,32.8,"Kelowna"
2022,"07-06",21,32.8,"Kelowna"
2022,"07-07",24.6,32.8,"Kelowna"
2022,"07-08",27.5,32.8,"Kelowna"
2022,"07-09",26.7,33,"Kelowna"
2022,"07-10",27.1,33.02,"Kelowna"
2022,"07-11",NA,33.1,"Kelowna"
2022,"07-12",35.5,33.21,"Kelowna"
2022,"07-13",29.1,33.3,"Kelowna"
2022,"07-14",NA,33.35,"Kelowna"
2022,"07-15",NA,33.7,"Kelowna"
2022,"07-16",31.2,33.9,"Kelowna"
2022,"07-17",28.2,33.9,"Kelowna"
2022,"07-18",29.2,33.9,"Kelowna"
2022,"07-19",32.3,33.97,"Kelowna"
2022,"07-20",33.7,34,"Kelowna"
2022,"07-21",34.4,34.2,"Kelowna"
2022,"07-22",32.7,34.2,"Kelowna"
2022,"07-23",32.2,34.2,"Kelowna"
2022,"07-24",33.7,34.3,"Kelowna"
2022,"07-25",32.9,34.3,"Kelowna"
2022,"07-26",33.5,34.3,"Kelowna"
2022,"07-27",36.6,34.2,"Kelowna"
