"Month","Day","Percentile_90","Station"
"01","01",5.7,"Penticton"
"01","02",5.88,"Penticton"
"01","03",6,"Penticton"
"01","04",6.1,"Penticton"
"01","05",6.1,"Penticton"
"01","06",6.1,"Penticton"
"01","07",6.1,"Penticton"
"01","08",6.2,"Penticton"
"01","09",6.5,"Penticton"
"01","10",6.5,"Penticton"
"01","11",6.5,"Penticton"
"01","12",6.5,"Penticton"
"01","13",6.41000000000001,"Penticton"
"01","14",6.4,"Penticton"
"01","15",6.3,"Penticton"
"01","16",6.2,"Penticton"
"01","17",6.21000000000001,"Penticton"
"01","18",6.4,"Penticton"
"01","19",6.3,"Penticton"
"01","20",6.45,"Penticton"
"01","21",6.6,"Penticton"
"01","22",6.7,"Penticton"
"01","23",6.7,"Penticton"
"01","24",6.7,"Penticton"
"01","25",6.7,"Penticton"
"01","26",6.9,"Penticton"
"01","27",7.2,"Penticton"
"01","28",7.2,"Penticton"
"01","29",7.3,"Penticton"
"01","30",7.4,"Penticton"
"01","31",7.6,"Penticton"
"02","01",7.7,"Penticton"
"02","02",7.7,"Penticton"
"02","03",7.8,"Penticton"
"02","04",7.8,"Penticton"
"02","05",7.8,"Penticton"
"02","06",8.1,"Penticton"
"02","07",8.1,"Penticton"
"02","08",8.28,"Penticton"
"02","09",8.3,"Penticton"
"02","10",8.3,"Penticton"
"02","11",8.54000000000001,"Penticton"
"02","12",8.9,"Penticton"
"02","13",8.9,"Penticton"
"02","14",9.1,"Penticton"
"02","15",9.3,"Penticton"
"02","16",9.4,"Penticton"
"02","17",9.4,"Penticton"
"02","18",9.6,"Penticton"
"02","19",9.83,"Penticton"
"02","20",10,"Penticton"
"02","21",10,"Penticton"
"02","22",10,"Penticton"
"02","23",10.1,"Penticton"
"02","24",10.2,"Penticton"
"02","25",10.5,"Penticton"
"02","26",10.6,"Penticton"
"02","27",10.8,"Penticton"
"02","28",11,"Penticton"
"02","29",11,"Penticton"
"03","01",11.1,"Penticton"
"03","02",11.33,"Penticton"
"03","03",11.7,"Penticton"
"03","04",12,"Penticton"
"03","05",12.2,"Penticton"
"03","06",12.4,"Penticton"
"03","07",12.7,"Penticton"
"03","08",12.8,"Penticton"
"03","09",13.2,"Penticton"
"03","10",13.3,"Penticton"
"03","11",13.6,"Penticton"
"03","12",13.89,"Penticton"
"03","13",13.9,"Penticton"
"03","14",14.2,"Penticton"
"03","15",14.29,"Penticton"
"03","16",14.4,"Penticton"
"03","17",14.4,"Penticton"
"03","18",14.4,"Penticton"
"03","19",14.6,"Penticton"
"03","20",14.7,"Penticton"
"03","21",15,"Penticton"
"03","22",15,"Penticton"
"03","23",15.5,"Penticton"
"03","24",15.6,"Penticton"
"03","25",16.1,"Penticton"
"03","26",16.24,"Penticton"
"03","27",16.6,"Penticton"
"03","28",16.7,"Penticton"
"03","29",17.2,"Penticton"
"03","30",17.2,"Penticton"
"03","31",17.7,"Penticton"
"04","01",17.8,"Penticton"
"04","02",17.8,"Penticton"
"04","03",18.2,"Penticton"
"04","04",18.3,"Penticton"
"04","05",18.3,"Penticton"
"04","06",18.68,"Penticton"
"04","07",18.87,"Penticton"
"04","08",18.9,"Penticton"
"04","09",19.3,"Penticton"
"04","10",19.4,"Penticton"
"04","11",19.59,"Penticton"
"04","12",19.74,"Penticton"
"04","13",20,"Penticton"
"04","14",20.3,"Penticton"
"04","15",20.44,"Penticton"
"04","16",20.6,"Penticton"
"04","17",20.7,"Penticton"
"04","18",21.1,"Penticton"
"04","19",21.1,"Penticton"
"04","20",21.5,"Penticton"
"04","21",21.7,"Penticton"
"04","22",21.8,"Penticton"
"04","23",22.2,"Penticton"
"04","24",22.2,"Penticton"
"04","25",22.2,"Penticton"
"04","26",22.6,"Penticton"
"04","27",22.8,"Penticton"
"04","28",23.03,"Penticton"
"04","29",23.3,"Penticton"
"04","30",23.6,"Penticton"
"05","01",23.9,"Penticton"
"05","02",24.4,"Penticton"
"05","03",24.4,"Penticton"
"05","04",24.6,"Penticton"
"05","05",25,"Penticton"
"05","06",25,"Penticton"
"05","07",25.2,"Penticton"
"05","08",25.66,"Penticton"
"05","09",26.16,"Penticton"
"05","10",26.4,"Penticton"
"05","11",26.4,"Penticton"
"05","12",26.5,"Penticton"
"05","13",26.7,"Penticton"
"05","14",26.7,"Penticton"
"05","15",26.7,"Penticton"
"05","16",26.8,"Penticton"
"05","17",27.1,"Penticton"
"05","18",27.2,"Penticton"
"05","19",27.2,"Penticton"
"05","20",27.3,"Penticton"
"05","21",27.6,"Penticton"
"05","22",27.82,"Penticton"
"05","23",28.12,"Penticton"
"05","24",28.3,"Penticton"
"05","25",28.4,"Penticton"
"05","26",28.6,"Penticton"
"05","27",28.8,"Penticton"
"05","28",28.9,"Penticton"
"05","29",28.94,"Penticton"
"05","30",29.4,"Penticton"
"05","31",29.4,"Penticton"
"06","01",29.4,"Penticton"
