"Year","DayOfYear","variable","value","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station"
1940,"04-01","Max_Temp_Year",NA,13.56,NA,1,NA,NA,"Prince_George"
1940,"04-02","Max_Temp_Year",NA,13.66,NA,1,NA,NA,"Prince_George"
1940,"04-03","Max_Temp_Year",NA,13.86,NA,1,NA,NA,"Prince_George"
1940,"04-04","Max_Temp_Year",NA,13.96,NA,1,NA,NA,"Prince_George"
1940,"04-05","Max_Temp_Year",NA,14.4,NA,1,NA,NA,"Prince_George"
1940,"04-06","Max_Temp_Year",NA,14.4,NA,1,NA,NA,"Prince_George"
1940,"04-07","Max_Temp_Year",NA,14.7,NA,1,NA,NA,"Prince_George"
1940,"04-08","Max_Temp_Year",NA,15,NA,1,NA,NA,"Prince_George"
1940,"04-09","Max_Temp_Year",NA,15,NA,1,NA,NA,"Prince_George"
1940,"04-10","Max_Temp_Year",NA,15,NA,1,NA,NA,"Prince_George"
1940,"04-11","Max_Temp_Year",NA,15,NA,1,NA,NA,"Prince_George"
1940,"04-12","Max_Temp_Year",NA,15,NA,1,NA,NA,"Prince_George"
1940,"04-13","Max_Temp_Year",NA,15.22,NA,1,NA,NA,"Prince_George"
1940,"04-14","Max_Temp_Year",NA,15.3,NA,1,NA,NA,"Prince_George"
1940,"04-15","Max_Temp_Year",NA,15.56,NA,1,NA,NA,"Prince_George"
1940,"04-16","Max_Temp_Year",NA,15.56,NA,1,NA,NA,"Prince_George"
1940,"04-17","Max_Temp_Year",NA,15.82,NA,1,NA,NA,"Prince_George"
1940,"04-18","Max_Temp_Year",NA,16.1,NA,1,NA,NA,"Prince_George"
1940,"04-19","Max_Temp_Year",13.9,17.1,"Not Higher",2,"Not Higher",NA,"Prince_George"
1940,"04-20","Max_Temp_Year",14.4,17.26,"Not Higher",2,"Not Higher",NA,"Prince_George"
1940,"04-21","Max_Temp_Year",18.9,17.8,"Not Higher",1,"Not Higher",NA,"Prince_George"
1940,"04-22","Max_Temp_Year",17.2,17.8,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"04-23","Max_Temp_Year",16.7,18.16,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"04-24","Max_Temp_Year",15,18.3,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"04-25","Max_Temp_Year",15.6,18.8,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"04-26","Max_Temp_Year",11.1,18.9,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"04-27","Max_Temp_Year",13.9,19.16,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"04-28","Max_Temp_Year",10,19.4,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"04-29","Max_Temp_Year",13.3,19.4,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"04-30","Max_Temp_Year",15.6,19.4,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-01","Max_Temp_Year",13.9,19.9,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-02","Max_Temp_Year",18.3,20.26,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-03","Max_Temp_Year",15,20.5,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-04","Max_Temp_Year",17.8,20.6,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-05","Max_Temp_Year",17.2,21.06,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-06","Max_Temp_Year",17.2,21.06,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-07","Max_Temp_Year",20.6,20.84,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-08","Max_Temp_Year",15,21.06,"Not Higher",17,"Not Higher",NA,"Prince_George"
1940,"05-09","Max_Temp_Year",21.7,21.1,"Not Higher",2,"Not Higher",NA,"Prince_George"
1940,"05-10","Max_Temp_Year",22.8,21.1,"Not Higher",2,"Not Higher",NA,"Prince_George"
