"LOCAL_DATE","x","y","TOTAL_PRECIPITATION","STATION_NAME","MAX_TEMPERATURE","MIN_TEMPERATURE","TOTAL_RAIN","MIN_REL_HUMIDITY","LOCAL_YEAR","LOCAL_MONTH","MEAN_TEMPERATURE"
1940-04-19,-122.8,53.8333333333333,1,"Prince_George",13.9,-3.3,1,NA,1940,4,5.3
1940-04-20,-122.8,53.8333333333333,0.5,"Prince_George",14.4,2.2,0.5,NA,1940,4,8.3
1940-04-21,-122.8,53.8333333333333,0,"Prince_George",18.9,-3.9,0,NA,1940,4,7.5
1940-04-22,-122.8,53.8333333333333,0,"Prince_George",17.2,-1.7,0,NA,1940,4,7.8
1940-04-23,-122.8,53.8333333333333,0,"Prince_George",16.7,0,0,NA,1940,4,8.4
1940-04-24,-122.8,53.8333333333333,0,"Prince_George",15,-1.7,0,NA,1940,4,6.7
1940-04-25,-122.8,53.8333333333333,0.5,"Prince_George",15.6,-1.7,0.5,NA,1940,4,7
1940-04-26,-122.8,53.8333333333333,8.9,"Prince_George",11.1,1.7,8.9,NA,1940,4,6.4
1940-04-27,-122.8,53.8333333333333,2.5,"Prince_George",13.9,0.6,2.5,NA,1940,4,7.3
1940-04-28,-122.8,53.8333333333333,7.1,"Prince_George",10,1.1,7.1,NA,1940,4,5.6
1940-04-29,-122.8,53.8333333333333,0,"Prince_George",13.3,1.7,0,NA,1940,4,7.5
1940-04-30,-122.8,53.8333333333333,0,"Prince_George",15.6,-3.3,0,NA,1940,4,6.2
1940-05-01,-122.8,53.8333333333333,0,"Prince_George",13.9,4.4,0,NA,1940,5,9.2
1940-05-02,-122.8,53.8333333333333,1.8,"Prince_George",18.3,4.4,1.8,NA,1940,5,11.4
1940-05-03,-122.8,53.8333333333333,1,"Prince_George",15,0.6,1,NA,1940,5,7.8
1940-05-04,-122.8,53.8333333333333,0,"Prince_George",17.8,-3.3,0,NA,1940,5,7.3
1940-05-05,-122.8,53.8333333333333,4.6,"Prince_George",17.2,5,4.6,NA,1940,5,11.1
1940-05-06,-122.8,53.8333333333333,0,"Prince_George",17.2,3.9,0,NA,1940,5,10.6
1940-05-07,-122.8,53.8333333333333,0,"Prince_George",20.6,-1.7,0,NA,1940,5,9.5
1940-05-08,-122.8,53.8333333333333,6.9,"Prince_George",15,6.7,6.9,NA,1940,5,10.9
1940-05-09,-122.8,53.8333333333333,0,"Prince_George",21.7,5,0,NA,1940,5,13.4
1940-05-10,-122.8,53.8333333333333,0.3,"Prince_George",22.8,7.8,0.3,NA,1940,5,15.3
1940-05-11,-122.8,53.8333333333333,0.3,"Prince_George",16.7,0.6,0.3,NA,1940,5,8.7
1940-05-12,-122.8,53.8333333333333,1.5,"Prince_George",16.7,-0.6,1.5,NA,1940,5,8.1
1940-05-13,-122.8,53.8333333333333,0,"Prince_George",18.9,-0.6,0,NA,1940,5,9.2
1940-05-14,-122.8,53.8333333333333,14.7,"Prince_George",16.7,5.6,14.7,NA,1940,5,11.2
1940-05-15,-122.8,53.8333333333333,5.1,"Prince_George",14.4,6.7,5.1,NA,1940,5,10.6
1940-05-16,-122.8,53.8333333333333,0,"Prince_George",15,3.9,0,NA,1940,5,9.5
1940-05-17,-122.8,53.8333333333333,0,"Prince_George",21.7,2.8,0,NA,1940,5,12.3
1940-05-18,-122.8,53.8333333333333,10.9,"Prince_George",12.8,6.1,10.9,NA,1940,5,9.5
1940-05-19,-122.8,53.8333333333333,0,"Prince_George",18.9,2.2,0,NA,1940,5,10.6
1940-05-20,-122.8,53.8333333333333,0,"Prince_George",22.2,-1.1,0,NA,1940,5,10.6
1940-05-21,-122.8,53.8333333333333,0,"Prince_George",26.7,0.6,0,NA,1940,5,13.7
1940-05-22,-122.8,53.8333333333333,0,"Prince_George",27.8,6.1,0,NA,1940,5,17
