"Year","DayOfYear","variable","value","Percentile_90","Percentile_95","Temp_Higher","Temp_Higher_95","streak_95","Heatwave_95","daily_max_temp_95","station"
1937,"04-01","Max_Temp_Year",11.1,14,15.11,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-02","Max_Temp_Year",10,14.4,15.6,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-03","Max_Temp_Year",10.6,14.4,15.6,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-04","Max_Temp_Year",13.3,14.4,15.6,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-05","Max_Temp_Year",9.4,14.6,15.6,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-06","Max_Temp_Year",10.6,14.82,15.91,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-07","Max_Temp_Year",13.3,15,15.91,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-08","Max_Temp_Year",16.1,15,16.1,"Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-09","Max_Temp_Year",10.6,15,16.1,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-10","Max_Temp_Year",11.7,15.1,16.155,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-11","Max_Temp_Year",12.2,15.2,16.255,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-12","Max_Temp_Year",11.1,15.4,16.565,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-13","Max_Temp_Year",12.2,15.4,16.52,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-14","Max_Temp_Year",13.3,15.51,16.655,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-15","Max_Temp_Year",12.8,15.51,16.465,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-16","Max_Temp_Year",12.2,15.6,16.755,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-17","Max_Temp_Year",12.8,15.61,16.855,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-18","Max_Temp_Year",12.8,16.01,16.9,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-19","Max_Temp_Year",12.2,16.1,17.01,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-20","Max_Temp_Year",11.7,16.2,17.255,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-21","Max_Temp_Year",10,16.3,17.8,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-22","Max_Temp_Year",12.2,16.8,18.355,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-23","Max_Temp_Year",11.7,17.11,18.855,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-24","Max_Temp_Year",11.1,17.2,18.955,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-25","Max_Temp_Year",13.3,17.2,19.055,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-26","Max_Temp_Year",10.6,17.21,19.055,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-27","Max_Temp_Year",12.8,17.41,19.155,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-28","Max_Temp_Year",11.7,17.8,19.355,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-29","Max_Temp_Year",11.7,18,19.4,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"04-30","Max_Temp_Year",13.3,18.3,19.4,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"05-01","Max_Temp_Year",17.2,18.3,19.5,"Not Higher","Not Higher",44,"Not Higher",NA,"YVR"
1937,"05-02","Max_Temp_Year",19.4,18.4,19.8,"Higher","Not Higher",44,"Not Higher",NA,"YVR"
