"Month","Day","Percentile_90","Percentile_95","Station"
"01","01",9.4,10.21,"YVR"
"01","02",9.4,10.255,"YVR"
"01","03",9.5,10.355,"YVR"
"01","04",9.61,10.555,"YVR"
"01","05",9.51,10.555,"YVR"
"01","06",9.5,10.6,"YVR"
"01","07",9.51,10.91,"YVR"
"01","08",9.71,11.1,"YVR"
"01","09",9.8,11.1,"YVR"
"01","10",9.82,11.1,"YVR"
"01","11",10,11.1,"YVR"
"01","12",10,11.1,"YVR"
"01","13",10.2,11.155,"YVR"
"01","14",10.6,11.2,"YVR"
"01","15",10.2,11.255,"YVR"
"01","16",10.6,11.41,"YVR"
"01","17",10.6,11.41,"YVR"
"01","18",10.31,11.155,"YVR"
"01","19",10,11.1,"YVR"
"01","20",10.02,11.1,"YVR"
"01","21",10.41,11.1,"YVR"
"01","22",10.02,11.1,"YVR"
"01","23",10,11.1,"YVR"
"01","24",10.11,11.1,"YVR"
"01","25",10.11,11.1,"YVR"
"01","26",10.11,11.1,"YVR"
"01","27",10.21,11.1,"YVR"
"01","28",10.31,11.1,"YVR"
"01","29",10.6,11.21,"YVR"
"01","30",10.6,11.7,"YVR"
"01","31",10.6,11.7,"YVR"
"02","01",10.81,11.7,"YVR"
"02","02",11.1,11.7,"YVR"
"02","03",11.1,11.755,"YVR"
"02","04",11.1,11.855,"YVR"
"02","05",11.1,12.11,"YVR"
"02","06",11.11,12.2,"YVR"
"02","07",11.1,12.11,"YVR"
"02","08",11.1,12,"YVR"
"02","09",11.2,12.2,"YVR"
"02","10",11.11,12.11,"YVR"
"02","11",11.2,12.11,"YVR"
"02","12",11.4,12.5,"YVR"
"02","13",11.4,12.5,"YVR"
"02","14",11.3,12.2,"YVR"
"02","15",11.5,12.5,"YVR"
"02","16",11.51,12.755,"YVR"
"02","17",11.7,12.8,"YVR"
"02","18",11.7,12.8,"YVR"
"02","19",11.7,12.8,"YVR"
"02","20",11.7,12.8,"YVR"
"02","21",11.71,12.955,"YVR"
"02","22",11.82,13.3,"YVR"
"02","23",12.01,13.3,"YVR"
"02","24",12.01,13.3,"YVR"
"02","25",12.2,13.3,"YVR"
"02","26",12.2,13.3,"YVR"
"02","27",12.2,13.21,"YVR"
"02","28",12.01,13.1,"YVR"
"02","29",12.8,13.3,"YVR"
"03","01",12.2,13.3,"YVR"
